id,nombre,apellido_paterno,apellido_materno,partido_politico,telefono,email,url_curriculum,url_foto,url_twitter
905,Andrés,Allamand,Zavala,R.N.,+56322504701,allamand@senado.cl,http://www.senado.cl/curriculum-senador-andres-allamand-zavala/senado/2014-03-10/171943.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=905,https://twitter.com/allamand
985,Isabel,Allende,Bussi,P.S.,+56322504671,iallende@senado.cl,http://www.senado.cl/curriculum-senadora-isabel-allende-bussi/senado/2012-11-12/182427.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=985,https://twitter.com/iallendebussi
1221,Carmen Gloria,Aravena,Acuña,Evopoli,+56322504751,cgloriaaravena@senado.cl,http://www.senado.cl/curriculum-senadora-carmen-gloria-aravena-acuna/senado/2018-04-05/171408.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1221,
1110,Pedro,Araya,Guerrero,Independiente,+56322504703,paraya@senado.cl,http://www.senado.cl/curriculum-senador-pedro-araya-guerrero/senado/2014-03-10/172256.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1110,https://twitter.com/ArayaPedro
907,Carlos,Bianchi,Chelech,Independiente,+56322504566,cbianchi@senado.cl,http://www.senado.cl/curriculum-senador-carlos-antonio-karim-bianchi-chelech/senado/2012-11-14/194621.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=907,
1218,Juan,Castro,Prieto,R.N.,+56322504753,jcastro@senado.cl,http://www.senado.cl/curriculum-senador-juan-enrique-castro-prieto/senado/2018-03-16/113055.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1218,
986,Francisco,Chahuán,Chahuán,R.N.,+56322504673,fchahuan@senado.cl,http://www.senado.cl/curriculum-senador-francisco-chahuan-chahuan/senado/2012-11-13/112204.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=986,https://twitter.com/chahuan
687,Juan Antonio,Coloma,Correa,U.D.I.,+56322504505,jcoloma@senado.cl,http://www.senado.cl/curriculum-senador-juan-antonio-coloma-correa/senado/2012-11-13/133421.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=687,https://twitter.com/jacoloma
1115,Alfonso,De,Urresti,P.S.,,adeurresti@senado.cl,http://www.senado.cl/curriculum-senador-alfonso-de-urresti-longton/senado/2014-03-10/155617.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1115,https://twitter.com/adeurresti
1210,José Miguel,Durana,Semir,U.D.I.,+56322504755,jdurana@senado.cl,http://www.senado.cl/curriculum-senador-jose-miguel-durana-semir/senado/2018-04-04/122456.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1210,https://twitter.com/duranasenador
1212,Luz Eliana,Ebensperger,Orrego,U.D.I.,+56322504757,lebensperger@senado.cl,http://www.senado.cl/curriculum-senadora-luz-ebensperger-orrego/senado/2018-03-14/103248.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1212,
1219,Álvaro,Elizalde,Soto,P.S.,+56322504759,aelizalde@senado.cl,http://www.senado.cl/curriculum-senador-alvaro-elizalde-soto/senado/2018-03-14/103900.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1219,https://twitter.com/alvaroelizalde
1220,Rodrigo,Galilea,Vial,R.N.,+56322504761,rgalilea@senado.cl,http://www.senado.cl/curriculum-senador-rodrigo-galilea-vial/senado/2018-03-16/164623.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1220,https://twitter.com/galilea_rodrigo
1066,Alejandro,García,Huidobro,U.D.I.,+56322504667,agarciahuidobro@senado.cl,http://www.senado.cl/curriculum-senador-alejandro-garcia-huidobro-sanfuentes/senado/2012-11-13/130824.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1066,https://twitter.com/senadoragh
690,José,García,Ruminot,R.N.,+56322504512,jgarcia@senado.cl,http://www.senado.cl/curriculum-senador-jose-garcia-ruminot/senado/2012-11-14/172658.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=690,https://twitter.com/jgarciaruminot
909,Guido,Girardi,Lavín,P.P.D.,+56322504570,ggirardi@senado.cl,http://www.senado.cl/curriculum-senador-guido-girardi-lavin/senado/2012-11-13/112915.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=909,https://twitter.com/guidogirardi
1113,Carolina,Goic,Boroevic,P.D.C.,+56322504707,cgoic@senado.cl,http://www.senado.cl/curriculum-senadora-carolina-goic-boroevic/senado/2014-03-10/153745.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1113,https://twitter.com/carolinagoic
1111,Alejandro,Guillier,Álvarez,Independiente,+56322504709,aguillier@senado.cl,http://www.senado.cl/curriculum-senador-alejandro-rene-guillier-alvarez/senado/2014-03-10/154424.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1111,https://twitter.com/guillier
1114,Felipe,Harboe,Bascuñán,P.P.D.,+56322504711,fharboe@senado.cl,http://www.senado.cl/curriculum-senador-felipe-harboe-bascunan/senado/2014-03-10/173414.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1114,https://twitter.com/felipeharboe
1222,Francisco,Huenchumilla,Jaramillo,P.D.C.,+56322504763,fhuenchumilla@senado.cl,,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1222,https://twitter.com/fhuenchumilla
1211,José Miguel,Insulza,Salinas,P.S.,+56322504765,jminsulza@senado.cl,http://www.senado.cl/curriculum-senador-jose-miguel-insulza-salinas/senado/2018-05-04/112001.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1211,https://twitter.com/Insulza
1223,Felipe,Kast,Sommerhoff,Evopoli,+56322504767,fkast@senado.cl,,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1223,https://twitter.com/felipekast
987,Ricardo,Lagos,Weber,P.P.D.,+56322504675,rlagos@senado.cl,http://www.senado.cl/curriculum-senador-ricardo-lagos-weber/senado/2012-11-13/112648.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=987,https://twitter.com/lagosweber
1216,Juan Ignacio,Latorre,Riveros,Revolución Democrática,+56322504769,jignaciolatorre@senado.cl,http://www.senado.cl/curriculum-senador-juan-ignacio-latorre-riveros/senado/2018-07-18/105801.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1216,
912,Juan Pablo,Letelier,Morel,P.S.,+56322504576,jpletelier@senado.cl,http://www.senado.cl/curriculum-senador-juan-pablo-letelier-morel/senado/2012-11-13/131152.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=912,https://twitter.com/jplchile
1119,Carlos,Montes,Cisternas,P.S.,+56322504714,cmontes@senado.cl,http://www.senado.cl/curriculum-senador-carlos-montes-cisternas/senado/2018-03-29/103224.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1119,
1117,Iván,Moreira,Barros,U.D.I.,+56322504715,imoreira@senado.cl,http://www.senado.cl/curriculum-senador-ivan-moreira-barros/senado/2014-03-10/174001.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1117,https://twitter.com/ivanmoreirab
1118,Adriana,Muñoz,D`Albora,P.P.D.,+56322504717,amunoz@senado.cl,http://www.senado.cl/curriculum-senadora-adriana-munoz-d-albora/senado/2014-03-10/174329.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1118,https://twitter.com/_adrianamunoz
915,Alejandro,Navarro,Brain,Pais Progresista,+56322504582,anavarro@senado.cl,http://www.senado.cl/curriculum-senador-alejandro-navarro-brain/senado/2012-11-14/110610.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=915,
1224,Ximena,Órdenes,Neira,Independiente,+56322504771,xordenes@senado.cl,,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1224,https://twitter.com/ximenaordenes
1120,Manuel José,Ossandón,Irarrázabal,R.N.,+56322504719,mjossandon@senado.cl,http://www.senado.cl/curriculum-senador-manuel-jose-ossandon-irarrazabal/senado/2014-03-10/161208.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1120,https://twitter.com/mjossandon
916,Víctor,Pérez,Varela,U.D.I.,+56322504584,vperez@senado.cl,http://www.senado.cl/curriculum-senador-victor-perez-varela/senado/2012-11-14/151317.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=916,https://twitter.com/senadorvpv
163,Jorge,Pizarro,Soto,P.D.C.,+56322504260,jpizarro@senado.cl,http://www.senado.cl/curriculum-senador-jorge-pizarro-soto/senado/2012-11-13/094056.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=163,https://twitter.com/pizarrosenador
1214,Rafael,Prohens,Espinosa,R.N.,+56322504775,rprohens@senado.cl,http://www.senado.cl/curriculum-senador-rafael-prohens-espinosa/senado/2018-03-14/173549.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1214,https://twitter.com/rafaelprohense
1215,Yasna,Provoste,Campillay,P.D.C.,+56322504778,yasnaprovoste@senado.cl,,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1215,https://twitter.com/provosteyasna
1217,Kenneth,Pugh,Olavarría,R.N.,+56322504773,kpugh@senado.cl,http://www.senado.cl/curriculum-senador-kenneth-peter-pugh-olavarria/senado/2018-03-19/163527.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1217,https://twitter.com/pughsenador
1008,Jaime,Quintana,Leal,P.P.D.,+56322504134,jquintana@senado.cl,http://www.senado.cl/curriculum-senador-jaime-quintana-leal/senado/2012-11-14/165507.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1008,https://twitter.com/senadorquintana
1116,Rabindranath,Quinteros,Lara,P.S.,+56322504721,rquinteros@senado.cl,http://www.senado.cl/curriculum-senador-rabindranath-quinteros-lara/senado/2014-03-10/155941.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1116,https://twitter.com/quinterosenador
1009,Ximena,Rincón,González,P.D.C.,+56322504779,xrincon@senado.cl,http://www.senado.cl/curriculum-senadora-ximena-rincon-gonzalez/senado/2018-09-28/114825.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1009,https://twitter.com/ximerincon
1225,David,Sandoval,Plaza,U.D.I.,+56322504781,dsandoval@senado.cl,http://www.senado.cl/curriculum-senador-david-sandoval-plaza/senado/2018-04-20/130752.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1225,https://twitter.com/sandovalplaza
1213,Jorge,Soria,Quiroga,P.P.D.,+56322504783,jsoria@senado.cl,,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1213,https://twitter.com/senadorjsoria
1112,Jacqueline,Van,Rysselberghe,U.D.I.,+56322504723,jvanr@senado.cl,http://www.senado.cl/curriculum-senadora-jacqueline-van-rysselberghe-herrera/senado/2014-03-10/154801.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1112,https://twitter.com/jvanbiobio
1067,Ena,Von,Baer,U.D.I.,+56322504693,evonbaer@senado.cl,http://www.senado.cl/curriculum-senadora-ena-von-baer-jahn/senado/2012-11-13/123707.html,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=getImage&fid=1067,https://twitter.com/enavonbaer
150,Marcos,Aburto,Ochoa,,,,,,
29,Arturo,Alessandri,Besa,,,,,,
906,Soledad,Alvear,Valenzuela,P.D.C.,,salvear@senado.cl,http://www.senado.cl/curriculum-senadora-soledad-alvear-valenzuela/prontus_senado/2012-11-13/122604.html,,https://twitter.com/soledadalvear
685,Jorge,Arancibia,Reyes,U.D.I.,+56322504502,jarancibia@senado.cl,,,
686,Nelson,Ávila,Contreras,P.R.S.D.,+56322504504,navila@senado.cl,,,https://twitter.com/nelsonavila
30,Sergio,Bitar,Chacra,,,,,,
38,Edgardo,Boeninger,Kausel,,,,,,
1,Carlos,Bombal,Otaegui,U.D.I.,,cbombal@senado.cl,,,
225,Rolando,Calderón,Aranguiz,,,,,,
152,Julio,Canessa,Robert,,,,,,
8,Carlos,Cantero,Ojeda,Independiente,,ccantero@senado.cl,http://www.senado.cl/curriculum-senador-carlos-cantero-ojeda/prontus_senado/2012-11-12/173247.html,,
27,Eugenio,Cantuarias,Larrondo,,,,,,
154,Marco,Cariola,Barroilhet,U.D.I.,,mcariola@senado.cl,,,
126,Ma Elena,Carrera,Villavicencio,,,,,,
131,Andrés,Chadwick,Piñera,U.D.I.,,chadwick@senado.cl,,,
135,Alberto,Cooper,Valencia,,,,,,
155,Fernando,Cordero,Rusque,,,,,,
198,Nicolás,Díaz,Sánchez,,,,,,
57,Sergio,Díez,Urzua,,,,,,
72,Francisco,Errázuriz,Talavera,,,,,,
908,Camilo,Escalona,Medina,P.S.,,cescalona@senado.cl,http://www.senado.cl/curriculum-senador-camilo-escalona-medina/prontus_senado/2012-11-14/191631.html,,https://twitter.com/camiloescalonam
688,Alberto,Espina,Otero,R.N.,+56322504508,aespina@senado.cl,http://www.senado.cl/curriculum-senador-alberto-espina-otero/prontus_senado/2012-11-14/154223.html,,https://twitter.com/albertoespina
40,Olga,Feliu,Segovia,,,,,,
33,Sergio,Fernández,Fernández,U.D.I.,,sfernand@senado.cl,,,
689,Fernando,Flores,Labra,Chile Primero,+56322504510,fflores@senado.cl,,,
73,Alejandro,Foxley,Rioseco,P.D.C.,,afoxley@senado.cl,,,
76,Arturo,Frei,Bolivar,,,,,,
5,Carmen,Frei,Ruiz-Tagle,P.D.C.,,cfrei@senado.cl,,,
